year;type;order;country;artist;title;language;position;score;maxpoints;voters
2015;semifinals 1;3;Belgium;Loïc Nottet;"""Rhythm Inside""";English;2;149;12;20
2015;semifinals 1;4;Netherlands;Trijntje Oosterhuis;"""Walk Along""";English;14;33;12;20
2015;semifinals 1;5;Finland;Pertti Kurikan Nimipäivät;"""Aina mun pitää""";Finnish;16;13;12;20
2015;semifinals 1;6;Greece;Maria Elena Kyriakou;"""One Last Breath""";English;6;81;12;20
2015;semifinals 1;7;Estonia;Elina Born & Stig Rästa;"""Goodbye to Yesterday""";English;3;105;12;20
2015;semifinals 1;8;Macedonia;Daniel Kajmakoski;"""Autumn Leaves""";English;15;28;12;20
2015;semifinals 1;9;Serbia;Bojana Stamenov;"""Beauty Never Lies""";English;9;63;12;20
2015;semifinals 1;10;Hungary;Boggie;"""Wars for Nothing""";English;8;67;12;20
2015;semifinals 1;11;Belarus;Uzari & Maimuna;"""Time""";English;12;39;12;20
2015;semifinals 1;12;Russia;Polina Gagarina;"""A Million Voices""";English;1;182;12;20
2015;semifinals 1;13;Denmark;Anti Social Media;"""The Way You Are""";English;13;33;12;20
2015;semifinals 1;14;Albania;Elhaida Dani;"""I'm Alive""";English;10;62;12;20
2015;semifinals 1;15;Romania;Voltaj;"""De la cap?t""";Romanian, English;5;89;12;20
2015;semifinals 1;16;Georgia;Nina Sublatti;"""Warrior""";English;4;98;12;20
2015;semifinals 2;1;Lithuania;Monika Linkyt? & Vaidas Baumila;"""This Time""";English;7;67;12;20
2015;semifinals 2;2;Ireland;Molly Sterling;"""Playing with Numbers""";English;12;35;12;20
2015;semifinals 2;3;San Marino;Anita Simoncini & Michele Perniola;"""Chain of Lights""";English;16;11;12;20
2015;semifinals 2;4;Montenegro;Knez;"""Adio""";Montenegrin;9;57;12;20
2015;semifinals 2;5;Malta;Amber;"""Warrior""";English;11;43;12;20
2015;semifinals 2;6;Norway;Mørland & Debrah Scarlett;"""A Monster Like Me""";English;4;123;12;20
2015;semifinals 2;7;Portugal;Leonor Andrade;"""Há um mar que nos separa""";Portuguese;14;19;12;20
2015;semifinals 2;8;Czech Republic;Marta Jandová & Václav Noid Bárta;"""Hope Never Dies""";English;13;33;12;20
2015;semifinals 2;9;Israel;Nadav Guedj;"""Golden Boy""";English;3;151;12;20
2015;semifinals 2;10;Latvia;Aminata;"""Love Injected""";English;2;155;12;20
2015;semifinals 2;11;Azerbaijan;Elnur Huseynov;"""Hour of the Wolf""";English;10;53;12;20
2015;semifinals 2;12;Iceland;Maria Olafs;"""Unbroken""";English;15;14;12;20
2015;semifinals 2;13;Sweden;Måns Zelmerlöw;"""Heroes""";English;1;217;12;20
2015;semifinals 2;14;Switzerland;Mélanie René;"""Time to Shine""";English;17;4;12;20
2015;semifinals 2;15;Cyprus;John Karayiannis;"""One Thing I Should Have Done""";English;6;87;12;20
2015;semifinals 2;16;Slovenia;Maraaya;"""Here for You""";English;5;92;12;20
2015;semifinals 2;17;Poland;Monika Kuszy?ska;"""In the Name of Love""";English;8;57;12;20
2015;finals;1;Slovenia;Maraaya;"""Here for You""";English;14;39;12;40
2015;finals;2;France;Lisa Angell;"""N'oubliez pas""";French;25;4;12;40
2015;finals;3;Israel;Nadav Guedj;"""Golden Boy""";English;9;97;12;40
2015;finals;4;Estonia;Elina Born & Stig Rästa;"""Goodbye to Yesterday""";English;7;106;12;40
2015;finals;5;United Kingdom;Electro Velvet;"""Still in Love with You""";English;24;5;12;40
2015;finals;6;Armenia;Genealogy;"""Face the Shadow""";English;16;34;12;40
2015;finals;7;Lithuania;Monika Linkyt? & Vaidas Baumila;"""This Time""";English;18;30;12;40
2015;finals;8;Serbia;Bojana Stamenov;"""Beauty Never Lies""";English;10;53;12;40
2015;finals;9;Norway;Mørland & Debrah Scarlett;"""A Monster Like Me""";English;8;102;12;40
2015;finals;10;Sweden;Måns Zelmerlöw;"""Heroes""";English;1;365;12;40
2015;finals;11;Cyprus;John Karayiannis;"""One Thing I Should Have Done""";English;22;11;12;40
2015;finals;12;Australia;Guy Sebastian;"""Tonight Again""";English;5;196;12;40
2015;finals;13;Belgium;Loïc Nottet;"""Rhythm Inside""";English;4;217;12;40
2015;finals;14;Austria;The Makemakes;"""I Am Yours""";English;26;0;12;40
2015;finals;15;Greece;Maria Elena Kyriakou;"""One Last Breath""";English;19;23;12;40
2015;finals;16;Montenegro;Knez;"""Adio""";Montenegrin;13;44;12;40
2015;finals;17;Germany;Ann Sophie;"""Black Smoke""";English;27;0;12;40
2015;finals;18;Poland;Monika Kuszy?ska;"""In the Name of Love""";English;23;10;12;40
2015;finals;19;Latvia;Aminata;"""Love Injected""";English;6;186;12;40
2015;finals;20;Romania;Voltaj;"""De la capat""";Romanian, English;15;35;12;40
2015;finals;21;Spain;Edurne;"""Amanecer""";Spanish;21;15;12;40
2015;finals;22;Hungary;Boggie;"""Wars for Nothing""";English;20;19;12;40
2015;finals;23;Georgia;Nina Sublatti;"""Warrior""";English;11;51;12;40
2015;finals;24;Azerbaijan;Elnur Huseynov;"""Hour of the Wolf""";English;12;49;12;40
2015;finals;25;Russia;Polina Gagarina;"""A Million Voices""";English;2;303;12;40
2015;finals;26;Albania;Elhaida Dani;"""I'm Alive""";English;17;34;12;40
2015;finals;27;Italy;Il Volo;"""Grande amore""";Italian;3;292;12;40
2014;semifinals 1;1;Armenia;Aram MP3;"""Not Alone""";English;4;121;12;19
2014;semifinals 1;2;Latvia;Aarzemnieki;"""Cake to Bake""";English;13;33;12;19
2014;semifinals 1;3;Estonia;Tanja;"""Amazing""";English;12;36;12;19
2014;semifinals 1;4;Sweden;Sanna Nielsen;"""Undo""";English;2;131;12;19
2014;semifinals 1;5;Iceland;Pollapönk;"""No Prejudice""";English;8;61;12;19
2014;semifinals 1;6;Albania;Hersi;"""One Night's Anger""";English;15;22;12;19
2014;semifinals 1;7;Russia;Tolmachevy Sisters;"""Shine""";English;6;63;12;19
2014;semifinals 1;8;Azerbaijan;Dilara Kazimova;"""Start a Fire""";English;9;57;12;19
2014;semifinals 1;9;Ukraine;Mariya Yaremchuk;"""Tick-Tock""";English;5;118;12;19
2014;semifinals 1;10;Belgium;Axel Hirsoux;"""Mother""";English;14;28;12;19
2014;semifinals 1;11;Moldova;Cristina Scarlat;"""Wild Soul""";English;16;13;12;19
2014;semifinals 1;12;San Marino;Valentina Monetta;"""Maybe""";English;10;40;12;19
2014;semifinals 1;13;Portugal;Suzy;"""Quero ser tua""";Portuguese;11;39;12;19
2014;semifinals 1;14;Netherlands;The Common Linnets;"""Calm After the Storm""";English;1;150;12;19
2014;semifinals 1;15;Montenegro;Sergej ?etkovi?;"""Moj svijet"" (??? ??????)";Montenegrin;7;63;12;19
2014;semifinals 1;16;Hungary;András Kállay-Saunders;"""Running""";English;3;127;12;19
2014;semifinals 2;1;Malta;Firelight;"""Coming Home""";English;9;63;12;19
